gambar,jenis_noise,jumlah_noise,metode,kernel,mse,psnr_db,ssim
camera,salt-and-pepper,0.05,Mean,3x3,208.96514511108398,24.93006508002239,0.5080356115491533
camera,salt-and-pepper,0.05,Gaussian,5x5,173.11969757080078,25.74733876125857,0.5736730385955154
camera,salt-and-pepper,0.05,Median,5x5,106.08255386352539,27.874363943444887,0.7962335181269986
coins,salt-and-pepper,0.05,Mean,3x3,253.28869293179318,24.094645579977502,0.5674096141901744
coins,salt-and-pepper,0.05,Gaussian,5x5,226.4531078107811,24.58102075611304,0.6163082972302147
coins,salt-and-pepper,0.05,Median,5x5,152.2303956958196,26.305789846160334,0.7733007951789259
moon,salt-and-pepper,0.05,Mean,3x3,98.25631713867188,28.207198790695898,0.5070837942211074
moon,salt-and-pepper,0.05,Gaussian,5x5,67.92589569091797,29.81044987004946,0.6054000047776901
moon,salt-and-pepper,0.05,Median,5x5,9.555492401123047,38.328272894056404,0.9368238786851038
