metode,mse,psnr_db,ssim
Median,89.28948065348935,30.83614222788721,0.835452730663676
Gaussian,155.83290035749994,26.712936462473692,0.5984604468678068
Mean,186.83671839384968,25.7439698168986,0.5275096733201451
